First Name,Last Name,Job Title,Company,Email,Phone,LinkedIn,Address,City,Postal Code,Department,Region,Website,Type,Groupe,SIREN,Primes 2024 (EUR),Resultat net (EUR),Produits structures,Notes
,,,MUTUELLE INTERENTREPRISES DU GAN,,,,8 A 10 RUE D ASTORG,PARIS,75008,Paris,Ile-de-France,,mutuelle,,442423661,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DE L IRSID,,,,VOIE ROMAINE  BP 30320,MAIZIERES LES METZ CEDEX,57283,Moselle,Grand Est,,mutuelle,,779984921,,,unknown,Sources: acpr_xlsx_2026.
,,,AXERIA IARD,,,,129 AVENUE FELIX FAURE,LYON,69003,Rhone,Auvergne-Rhone-Alpes,,assurance_non_vie,,352893200,,,unknown,Sources: acpr_xlsx_2026.
,,,LE REFUGE MUTUALISTE AVEYRONNAIS,,,,5 RUE  SAULIGNAC ET RUE CLAUSEL DE COUSSERGUES   BP 50313,MILLAU CEDEX,12103,Aveyron,Occitanie,,mutuelle,,776720724,,,unknown,Sources: acpr_xlsx_2026.
,,,MLC MUTUELLE,,,,1 RUE DE LA SARTHE,CHOLET,49306,Maine-et-Loire,Pays de la Loire,,mutuelle,,315519231,,,unknown,Sources: acpr_xlsx_2026.
,,,PRUDENCE CREOLE,,,,32 RUE ALEXIS DE VILLENEUVE  CS 71081,SAINT-DENIS  (REUNION) CEDEX,97404,La Reunion,La Reunion,,assurance_non_vie,,310863139,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE NATIONALE DES FONCTIONNAIRES DES COLLECTIVITES TERRITORIALES,,,,3 RUE FRANKLIN  CS 30036,MONTREUIL CEDEX,93108,Seine-Saint-Denis,Ile-de-France,,mutuelle,,784442899,,,unknown,Sources: acpr_xlsx_2026.
,,,OPTEVEN,,,,10 RUE OLYMPE DE GOUGES,VILLEURBANNE,69100,Rhone,Auvergne-Rhone-Alpes,,assurance_non_vie,,379954886,,,unknown,Sources: acpr_xlsx_2026.
,,,MBA MUTUELLE,,,,62 BOULEVARD JEAN MERMOZ. CS 90739,RENNES CEDEX 2,35207,Ille-et-Vilaine,Bretagne,,mutuelle,,777749409,,,unknown,Sources: acpr_xlsx_2026.
,,,UNIPREVOYANCE,,,,38-42 RUE CUVIER,MONTREUIL,93100,Seine-Saint-Denis,Ile-de-France,,institution_prevoyance,,318990736,,,unknown,Sources: acpr_xlsx_2026.
,,,CHUBB LIFE EUROPE SE,,,,"31 PLACE DES COROLLES  LA TOUR CARPE DIEM, ESPLANADE NORD",COURBEVOIE,92400,Hauts-de-Seine,Ile-de-France,,assurance_mixte,,497825539,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DES ASSURES SOCIAUX,,,,393 AVENUE DU PRADO,MARSEILLE,13008,Bouches-du-Rhone,Provence-Alpes-Cote d'Azur,,mutuelle,,329678205,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DU CHAMPAGNE,,,,14 BOULEVARD DIEU LUMIERE,REIMS,51100,Marne,Grand Est,,mutuelle,,780429049,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE GENERALE DE PREVOYANCE SOCIALE,,,,BATIMENT B 2EME ETAGE JARRY CENTRE COMMERCIAL LES GALERIES DE HOUELBOURG,BAIE MAHAULT (GUADELOUPE),97122,Guadeloupe,Guadeloupe,,mutuelle,,320377906,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DU PERSONNEL DE L EST REPUBLICAIN,,,,RUE THEOPHRASTE RENAUDOT  NANCY HOUDEMONT,HEILLECOURT,54185,Meurthe-et-Moselle,Grand Est,,mutuelle,,443438148,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DU PERSONNEL DES PORTS DU DETROIT,,,,54  RUE DU QUAI DE LA LOIRE PORT DE CALAIS,CALAIS,62100,Pas-de-Calais,Hauts-de-France,,mutuelle,,432456788,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DE LA PAPETERIE D ARCHES,,,,48 ROUTE DE REMIREMONT,ARCHES,88380,Vosges,Grand Est,,mutuelle,,443898879,,,unknown,Sources: acpr_xlsx_2026.
,,,BPCE VIE,,,,7 PROMENADE GERMAINE SABLON,PARIS,75013,Paris,Ile-de-France,,assurance_mixte,,349004341,,,unknown,Sources: acpr_xlsx_2026.
,,,KOREGE,,,,110 ESPLANADE DU GENERAL DE GAULLE IMMEUBLE COEUR DEFENSE,COURBEVOIE,92400,Hauts-de-Seine,Ile-de-France,,assurance_vie,,338075062,,,unknown,Sources: acpr_xlsx_2026.
,,,ARUNDO RE,,,,6 RUE FAVART,PARIS,75002,Paris,Ile-de-France,,reassurance,,817446511,,,unknown,Sources: acpr_xlsx_2026.
,,,MUDETAF(MUTUELLE CONFEDERALE D ASSURANCES DES DEBITANTS DE TABAC DE FRANCE),,,,23 - 25 RUE CHAPTAL,PARIS,75009,Paris,Ile-de-France,,assurance_non_vie,,350403804,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTLOR LES MUTUELLES DE LORRAINE,,,,11 RUE DU COLONEL MERLIN  CS 21415,LONGWY CEDEX,54414,Meurthe-et-Moselle,Grand Est,,mutuelle,,342211265,,,unknown,Sources: acpr_xlsx_2026.
,,,CAISSE REGIONALE D ASSURANCES MUTUELLES AGRICOLES MEDITERRANEE,,,,24 PARC DU GOLF ZAC DE PICHAURY BP 10359,AIX EN PROVENCE CEDEX 03,13799,Bouches-du-Rhone,Provence-Alpes-Cote d'Azur,,assurance_non_vie,,379834906,,,unknown,Sources: acpr_xlsx_2026.
,,,MACSF LIBEA,,,,10 RUE DE VALMY COURS DU TRANGLE,PUTEAUX,92800,Hauts-de-Seine,Ile-de-France,,assurance_non_vie,MACSF,440214310,,,unknown,Sources: acpr_xlsx_2026.
,,,"MUTUELLE COMPLEMENTAIRE DE LA VILLE DE PARIS, DE L ASSISTANCE PUBLIQUE ET DES ADMINISTRATIONS ANNEXES",,,,2-4 RUE SADI CARNOT,BAGNOLET,93170,Seine-Saint-Denis,Ile-de-France,,mutuelle,,784227894,,,unknown,Sources: acpr_xlsx_2026.
,,,AVENIR SANTE,,,,19 RUE DU GENERAL FOY,PARIS,75008,Paris,Ile-de-France,,mutuelle,,433087806,,,unknown,Sources: acpr_xlsx_2026.
,,,AXA FRANCE IARD,,,,313 TERRASSES DE L ARCHE,NANTERRE CEDEX,92727,Hauts-de-Seine,Ile-de-France,,assurance_non_vie,AXA,722057460,,,no,"Sources: acpr_xlsx_2026. AXA France IARD - branche non-vie, pas d'allocation structures."
,,,LES ASSOCIATIONS MUTUELLES LE CONSERVATEUR,,,,59 RUE DE LA FAISANDERIE,PARIS,75116,Paris,Ile-de-France,,assurance_vie,,775687619,,,unknown,Sources: acpr_xlsx_2026.
,,,GROUPE FRANCE MUTUELLE,,,,56 RUE DE MONCEAU,PARIS,75008,Paris,Ile-de-France,,mutuelle,,784492084,,,unknown,Sources: acpr_xlsx_2026.
,,,CAISSE DE PREVOYANCE DES AGENTS DE  LA SECURITE SOCIALE ET ASSIMILES,,,,2 TER BOULEVARD SAINT MARTIN,PARIS,75010,Paris,Ile-de-France,,institution_prevoyance,,398595397,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE ENTRENOUS,,,,27 ALLEE ALBERT SYLVESTRE IMMEUBLE OMEGA POLYGONE IV,CHAMBERY,73000,Savoie,Auvergne-Rhone-Alpes,,mutuelle,,309244648,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE PREVOYANCE ALSACE,,,,10 RUE DE LA DURANCE  BP 50213,STRASBOURG CEDEX 1,67022,Bas-Rhin,Grand Est,,mutuelle,,444424931,,,unknown,Sources: acpr_xlsx_2026.
,,,AREAS DOMMAGES,,,,47 RUE DE MIROMESNIL,PARIS,75008,Paris,Ile-de-France,,assurance_non_vie,,775670466,,,unknown,Sources: acpr_xlsx_2026.
,,,MACIF VIE SE,,,,1 RUE JACQUES VANDIER,NIORT,79000,Deux-Sevres,Nouvelle-Aquitaine,,assurance_mixte,AESIO/AEMA,315652263,,,unknown,Sources: acpr_xlsx_2026.
,,,SERENIS ASSURANCES,,,,25 RUE DU DOCTEUR HENRI ABEL,VALENCE,26000,Drome,Auvergne-Rhone-Alpes,,assurance_non_vie,,350838686,,,unknown,Sources: acpr_xlsx_2026.
,,,L EQUITE,,,,89 RUE TAITBOUT,PARIS,75009,Paris,Ile-de-France,,assurance_non_vie,,572084697,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE INTERGROUPES D ENTRAIDE,,,,16 AVENUE LOUISON BOBET Immeuble Le Péricentre CS60005,FONTENAY-SOUS-BOIS CEDEX,94132,Val-de-Marne,Ile-de-France,,mutuelle,,784275885,,,unknown,Sources: acpr_xlsx_2026.
Kyle,English,Directeur Financier,PACIFICA,,,https://www.linkedin.com/in/kyle-english-9b0163181,8 A 10 BOULEVARD DE VAUGIRARD,PARIS CEDEX 15,75724,Paris,Ile-de-France,,assurance_non_vie,Credit Agricole Assurances,352358865,,,yes,Sources: acpr_xlsx_2026. Pacifica (CAA non-vie) - exposition limitee mais existante.
,,,SPIRICA,,,,16/18 boulevard de Vaugirard,PARIS CEDEX 15,75015,Paris,Ile-de-France,,assurance_vie,Credit Agricole Assurances,487739963,,,yes,"Sources: acpr_xlsx_2026. Spirica (CAA) - allocation moderate, plate-forme UC."
,,,MUTUELLE D ASSURANCES DU CORPS DE SANTE FRANCAIS,,,,10 RUE DE VALMY COURS DU TRIANGLE,PUTEAUX,92800,Hauts-de-Seine,Ile-de-France,,assurance_non_vie,,775665631,,,unknown,Sources: acpr_xlsx_2026.
,,,GENERATION VIE,,,,20 PLACE DE SEINE TOUR NEPTUNE,COURBEVOIE,92400,Hauts-de-Seine,Ile-de-France,,assurance_vie,,403267487,,,unknown,Sources: acpr_xlsx_2026.
,,,REUNISOLIDARITE,,,,47 RUE LUC LORION  BP 390,SAINT PIERRE CEDEX (REUNION),97457,La Reunion,La Reunion,,mutuelle,,402203475,,,unknown,Sources: acpr_xlsx_2026.
,,,ABEILLE EPARGNE RETRAITE,,,,70 AVENUE DE L EUROPE,BOIS COLOMBES,92270,Hauts-de-Seine,Ile-de-France,,assurance_vie,,378741722,,,unknown,Sources: acpr_xlsx_2026.
,,,CHUBB EUROPEAN GROUP SE,,,,"31 PLACE  DES COROLLES  LA TOUR CARPE DIEM, ESPLANADE NORD",COURBEVOIE,92400,Hauts-de-Seine,Ile-de-France,,assurance_non_vie,,450327374,,,unknown,Sources: acpr_xlsx_2026.
,,,EUROP ASSISTANCE SA,,,,89 RUE TAITBOUT,PARIS,75009,Paris,Ile-de-France,,assurance_non_vie,,451366405,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE BATIMENTRAIDE,,,,8 RUE LOUIS ARMAND,PARIS,75015,Paris,Ile-de-France,,mutuelle,,400478889,,,unknown,Sources: acpr_xlsx_2026.
,,,MAIF VIE,,,,50 AVENUE SALVADOR ALLENDE,NIORT,79000,Deux-Sevres,Nouvelle-Aquitaine,,assurance_vie,,330432782,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DU PERSONNEL DE LA MACIF,,,,1 RUE JACQUES VANDIER,NIORT,79000,Deux-Sevres,Nouvelle-Aquitaine,,mutuelle,AESIO/AEMA,443172507,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DU GRAND PORT MARITIME DU HAVRE,,,,TERRE PLEIN DE LA BARRE  CS 81413,LE HAVRE CEDEX,76067,Seine-Maritime,Normandie,,mutuelle,,781065412,,,unknown,Sources: acpr_xlsx_2026.
,,,PREDICA - PREVOYANCE DIALOGUE DU CREDIT AGRICOLE,,,,16-18 boulevard de Vaugirard,PARIS,75015,Paris,Ile-de-France,,assurance_mixte,Credit Agricole Assurances,334028123,,,yes,Sources: acpr_xlsx_2026. Predica (CAA) - l'un des plus gros porteurs europeens de notes structurees. Book EMTN/autocall connu. Source: connaissance marche CMF + rapport annuel CAA.
,,,NYMPHEA SANTE,,,,160 RUE HENRI CHAMPION  TSA 50002,LE MANS CEDEX 09,72030,Sarthe,Pays de la Loire,,mutuelle,,352003180,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUALIA ALLIANCE SANTE,,,,1 RUE ANDRE GATOUX,ARRAS CEDEX,62024,Pas-de-Calais,Hauts-de-France,,mutuelle,,403596265,,,unknown,Sources: acpr_xlsx_2026.
,,,INSTITUTION DE RETRAITE PROFESSIONNELLE SUPPLÉMENTAIRE AUSTERLITZ,,,,7 PROMENADE GERMAINE SABLON,PARIS,75013,Paris,Ile-de-France,,assurance_vie,,434958229,,,unknown,Sources: acpr_xlsx_2026.
,,,SOCIETE MUTUALISTE DES AUTEURS COMPOSITEURS ET EDITEURS DE MUSIQUE,,,,225  AVENUE  CHARLES DE GAULLE,NEUILLY SUR SEINE,92200,Hauts-de-Seine,Ile-de-France,,mutuelle,,784410771,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DE FRANCE DES HOSPITALIERS,,,,CHU GRENOBLE  BP 217,GRENOBLE CEDEX 9,38043,Isere,Auvergne-Rhone-Alpes,,mutuelle,,397742958,,,unknown,Sources: acpr_xlsx_2026.
,,,SOLIDARITE RURALE ET URBAINE D ALSACE,,,,7 PLACE DES HALLES,STRASBOURG,67000,Bas-Rhin,Grand Est,,mutuelle,,778847301,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE KEOLIS RENNES,,,,RUE JEAN MARIE HUCHET,RENNES,35000,Ille-et-Vilaine,Bretagne,,mutuelle,,444270730,,,unknown,Sources: acpr_xlsx_2026.
,,,KLESIA MUT,,,,4 RUE GEORGES PICQUART,PARIS,75017,Paris,Ile-de-France,,mutuelle,Klesia,529168007,,,yes,Sources: acpr_xlsx_2026. Klesia Mut - exposition via poche credit/actions.
,,,MUTUELLE NATIONALE TERRITORIALE,,,,4 A 6 RUE  D ATHENES,PARIS,75009,Paris,Ile-de-France,,mutuelle,,775678584,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE INTERPROFESSIONNELLE DE PREVOYANCE,,,,18 RUE BAUDOT,BASSE TERRE (GUADELOUPE),97100,Guadeloupe,Guadeloupe,,mutuelle,,331901942,,,unknown,Sources: acpr_xlsx_2026.
,,,CAISSE DE PREVOYANCE DES CADRES D'ENTREPRISES AGRICOLES,,,,21 RUE DE LA BIENFAISANCE,PARIS CEDEX 08,75382,Paris,Ile-de-France,,institution_prevoyance,,784411134,,,unknown,Sources: acpr_xlsx_2026.
,,,MMA IARD ASSURANCES MUTUELLES,,,,160 RUE HENRI CHAMPION,LE MANS CEDEX 9,72030,Sarthe,Pays de la Loire,,assurance_non_vie,,775652126,,,unknown,Sources: acpr_xlsx_2026.
,,,ASSURIMA,,,,118 AVENUE DE PARIS,NIORT,79000,Deux-Sevres,Nouvelle-Aquitaine,,assurance_non_vie,,481514149,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DES AFFAIRES ETRANGERES ET EUROPEENNES,,,,37 QUAI D ORSAY,PARIS,75007,Paris,Ile-de-France,,mutuelle,,775666332,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE SANTE EIFFAGE ENERGIE,,,,117 RUE DU LANDY  BP 80008,LA PLAINE SANT DENIS CEDEX,93123,Seine-Saint-Denis,Ile-de-France,,mutuelle,,391526225,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTAERO,,,,34 BOULEVARD RIQUET  CS 21504,TOULOUSE CEDEX 6,31015,Haute-Garonne,Occitanie,,mutuelle,,776950610,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE LE LIBRE CHOIX,,,,BOULEVARD DE L EUROPE,MAUBEUGE CEDEX,59602,Nord,Hauts-de-France,,mutuelle,,783747793,,,unknown,Sources: acpr_xlsx_2026.
,,,CARDIF ASSURANCE VIE,,,,1 BOULEVARD HAUSSMANN  TSA 93000,PARIS CEDEX 09,75318,Paris,Ile-de-France,,assurance_mixte,BNP Paribas Cardif,732028154,,,yes,Sources: acpr_xlsx_2026. BNP Paribas Cardif Assurance Vie - acheteur structurel BNP + tiers.
,,,MUTUALITE FAMILIALE DU CORPS MEDICAL FRANCAIS DIT MUTUELLE DU MEDECIN,,,,31 AVENUE DE L OPERA,PARIS,75001,Paris,Ile-de-France,,mutuelle,,784180044,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DES SCOP ET DES SCIC,,,,12 QUAI DE LA MEGISSERIE,PARIS,75001,Paris,Ile-de-France,,mutuelle,,788108546,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DE LA POLICE NATIONALE,,,,1 RUE DE ROSHEIM  BP 50024,SCHILTIGHEIM CEDEX,67301,Bas-Rhin,Grand Est,,mutuelle,,778869131,,,unknown,Sources: acpr_xlsx_2026.
,,,GROUPE DES MUTUELLES INDEPENDANTES,,,,4 RUE FELIX HESS,VILLERUPT,54190,Meurthe-et-Moselle,Grand Est,,mutuelle,,783376270,,,unknown,Sources: acpr_xlsx_2026.
,,,MAE,,,,62 RUE LOUIS BOUILHET,ROUEN,76044,Seine-Maritime,Normandie,,mutuelle,,510778442,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE D IVRY LA FRATERNELLE,,,,23 RUE YVES TOUDIC,PARIS CEDEX 10,75481,Paris,Ile-de-France,,mutuelle,,310259221,,,unknown,Sources: acpr_xlsx_2026.
,,,RESSOURCES MUTUELLES ASSISTANCE,,,,46 RUE DU MOULIN  BP 62127,VERTOU CEDEX,44121,Loire-Atlantique,Pays de la Loire,,assurance_non_vie,,444269682,,,unknown,Sources: acpr_xlsx_2026.
,,,SOCIETE MUTUALISTE DU SALEVE,,,,33 CHEMIN DU PEROUZET,COLLONGES SOUS SALEVE,74160,Haute-Savoie,Auvergne-Rhone-Alpes,,mutuelle,,437732191,,,unknown,Sources: acpr_xlsx_2026.
,,,INSTITUTION DE PREVOYANCE BANQUE POPULAIRE,,,,22 RUE DU CHATEAU,NEUILLY-SUR-SEINE,92400,Hauts-de-Seine,Ile-de-France,,institution_prevoyance,,398698175,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE GENERALE D AVIGNON,,,,375 RUE PIERRE SEGHERS IMMEUBLE LE POLARIS - CAP SUD,AVIGNON,84000,Vaucluse,Provence-Alpes-Cote d'Azur,,mutuelle,,334489986,,,unknown,Sources: acpr_xlsx_2026.
,,,ALBINGIA,,,,109 A 111 RUE VICTOR HUGO,LEVALLOIS PERRET,92300,Hauts-de-Seine,Ile-de-France,,assurance_non_vie,,429369309,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DES SAPEURS POMPIERS DE PARIS,,,,104 AVENUE DE FONTAINEBLEAU,LE KREMLIN BICETRE,94270,Val-de-Marne,Ile-de-France,,mutuelle,,391036183,,,unknown,Sources: acpr_xlsx_2026.
,,,QUATREM,,,,21  RUE LAFFITTE,PARIS,75009,Paris,Ile-de-France,,assurance_mixte,,412367724,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTAC,,,,771 AVENUE ALFRED SAUVY IMMEUBLE LES COROLLYS - ZAC ODE ACTE I,PEROLS,34470,Herault,Occitanie,,mutuelle,,339198939,,,unknown,Sources: acpr_xlsx_2026.
,,,SOCIETE ANONYME DE CONSOLIDATION DES RETRAITES DE L'ASSURANCE,,,,26 BD HAUSSMANN,PARIS CEDEX 09,75311,Paris,Ile-de-France,,assurance_vie,,409196755,,,unknown,Sources: acpr_xlsx_2026.
,,,SMACL ASSURANCES,,,,141 AVENUE SALVADOR ALLENDE,NIORT CEDEX 9,79031,Deux-Sevres,Nouvelle-Aquitaine,,assurance_non_vie,VYV,301309605,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DES SAPEURS POMPIERS DU GERS,,,,59 ROUTE DE PESSAN RESIDENCE STE BARBE,AUCH,32000,Gers,Occitanie,,mutuelle,,326313764,,,unknown,Sources: acpr_xlsx_2026.
,,,POUEY RENSEIGNEMENT COMMERCIAL GARANTI SA,,,,11 RUE DE MADRID,PARIS,75008,Paris,Ile-de-France,,assurance_non_vie,,414494419,,,unknown,Sources: acpr_xlsx_2026.
,,,SOCIETE MUTUALISTE INTERENTREPRISES DU PERSONNEL DES ORGANISMES SOCIAUX DU LOT,,,,238 RUE HAUTESSERRE,CAHORS,46015,Lot,Occitanie,,mutuelle,,431535327,,,unknown,Sources: acpr_xlsx_2026.
,,,WAKAM,,,,120 A 122 RUE REAUMUR,PARIS,75002,Paris,Ile-de-France,,assurance_non_vie,,562117085,,,unknown,Sources: acpr_xlsx_2026.
,,,ACTE IARD,,,,14 AVENUE DE L EUROPE  ESPACE EUROPEEN DE L ENTREPRISE,SCHILTIGHEIM,67300,Bas-Rhin,Grand Est,,assurance_non_vie,,332948546,,,unknown,Sources: acpr_xlsx_2026.
,,,IMPERIO ASSURANCES ET CAPITALISATION,,,,10 PLACE DE BELGIQUE,LA GARENNE COLOMBES,92250,Hauts-de-Seine,Ile-de-France,,assurance_mixte,,351392543,,,unknown,Sources: acpr_xlsx_2026.
,,,CFDP ASSURANCES,,,,62 RUE DE BONNEL,LYON,69003,Rhone,Auvergne-Rhone-Alpes,,assurance_non_vie,,958506156,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE GENERALE DES AFFAIRES SOCIALES,,,,96  AVENUE  DE SUFFREN,PARIS CEDEX 15,75730,Paris,Ile-de-France,,mutuelle,,784301475,,,unknown,Sources: acpr_xlsx_2026.
,,,GFA CARAIBES,,,,104 A 106 BOULEVARD  DU GENERAL DE GAULLE,FORT DE FRANCE (MARTINIQUE) CEDEX,97206,Martinique,Martinique,,assurance_non_vie,,381324912,,,unknown,Sources: acpr_xlsx_2026.
,,,LA MUTUELLE GENERALE,,,,1 A 11 RUE BRILLAT SAVARIN,PARIS,75013,Paris,Ile-de-France,,mutuelle,,775685340,,,unknown,Sources: acpr_xlsx_2026.
,,,INTEGRANCE,,,,"51, RUE PAUL MEURICE CS 51111",PARIS CEDEX 20,75970,Paris,Ile-de-France,,mutuelle,,340359900,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE VAROISE DES TRAVAILLEURS DE L ETAT,,,,215 PLACE DE LA LIBERTE,TOULON,83000,Var,Provence-Alpes-Cote d'Azur,,mutuelle,,442449278,,,unknown,Sources: acpr_xlsx_2026.
,,,LA RURALE,,,,20 PLACE DE SEINE TOUR NEPTUNE,PARIS LA DEFENSE CEDEX,92086,Hauts-de-Seine,Ile-de-France,,assurance_non_vie,,572166437,,,unknown,Sources: acpr_xlsx_2026.
,,,ASSURANCES MUTUELLES LE CONSERVATEUR,,,,59 RUE DE LA FAISANDERIE,PARIS,75116,Paris,Ile-de-France,,assurance_vie,,311852750,,,unknown,Sources: acpr_xlsx_2026.
,,,LA MUTUELLE VERTE,,,,78 COURS LAFAYETTE,TOULON,83000,Var,Provence-Alpes-Cote d'Azur,,mutuelle,,309104099,,,unknown,Sources: acpr_xlsx_2026.
,,,PREVOIR VIE,,,,19 RUE D AUMALE,PARIS CEDEX 09,75306,Paris,Ile-de-France,,assurance_mixte,,343286183,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUALIA TERRITOIRES SOLIDAIRES,,,,75 AVENUE GABRIEL PERI,SAINT MARTIN D HERES,38400,Isere,Auvergne-Rhone-Alpes,,mutuelle,,449571256,,,unknown,Sources: acpr_xlsx_2026.
,,,BPCE ASSURANCES IARD,,,,7 PROMENADE GERMAINE SABLON,PARIS,75013,Paris,Ile-de-France,,assurance_non_vie,,350663860,,,unknown,Sources: acpr_xlsx_2026.
,,,ASSOCIATION GENERALE DES MEDECINS DE FRANCE PREVOYANCE,,,,1 BOULEVARD PASTEUR,PARIS,75015,Paris,Ile-de-France,,assurance_mixte,,775666340,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DES HOPITAUX DE LA VIENNE,,,,RUE  DE LA MILETRIE PAVILLON RENE LE BLAYE  BP 59,POITIERS CEDEX,86002,Vienne,Nouvelle-Aquitaine,,mutuelle,,314685835,,,unknown,Sources: acpr_xlsx_2026.
,,,LA FRATERNELLE DE SAINT VINCENT DE PAUL,,,,MAIRIE,AMOU,40330,Landes,Nouvelle-Aquitaine,,mutuelle,,782053235,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DES RISQUES D ASSURANCES DES CAISSES D EPARGNE DE FRANCE - MURACEF,,,,5 RUE MASSERAN,PARIS,75007,Paris,Ile-de-France,,assurance_non_vie,,324154863,,,unknown,Sources: acpr_xlsx_2026.
,,,SMPS (SOCIETE MUTUALISTE DU PERSONNEL DE LA SNECMA),,,,CHEMIN DE VIERCY,LIMOGES FOURCHES,77550,Seine-et-Marne,Ile-de-France,,mutuelle,,784338600,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE DES PERSONNELS DU CENTRE HOSPITALIER D ALES,,,,811 AVENUE DU DOCTEUR JEAN GOUBERT  BP 20139,ALES CEDEX,30103,Gard,Occitanie,,mutuelle,,443098603,,,unknown,Sources: acpr_xlsx_2026.
,,,FIDELIA ASSISTANCE,,,,26 QUAI CARNOT,SAINT CLOUD,92210,Hauts-de-Seine,Ile-de-France,,assurance_non_vie,,377768601,,,unknown,Sources: acpr_xlsx_2026.
